Source,Target,Weight
GFAN,Pokebip,383
LOTR,WHMCS,368
000webhost,Leet,19504
Spirol,Tianya,19
UnrealEngine,XSplit,28398
CrackCommunity,UnrealEngine,48
Aipai,Tianya,640523
MinecraftWorldMap,WPT,14
GameTuts,ThisHabboForum,944
CheapAssGamer,WPT,232
Forbes,HackForums,327
SkTorrent,WIIUISO,125
AndroidForums,mSpy,754
GeekedIn,Hemmakvall,52
Aternos,PSX-Scene,572
IGF,MPGH,26
Lookbook,MPGH,1948
KMRU,PixelFederation,1
AcneOrg,Lookbook,3547
Flashback,VK,337
LOTR,iPmart,6307
Uiggy,iMesh,78426
MajorGeeks,WHMCS,230
MinecraftWorldMap,WarInc,1358
LOTR,Spirol,4
BusinessAcumen,Gawker,3
CheapAssGamer,Gawker,14827
Comcast,MoneyBookers,222
MPGH,R2Games,170741
MPGH,StarNet,102
Malwarebytes,Yandex,1
Bell,Patreon,5
Hemmelig,VBulletin,29
BlueSnapRegpack,MoDaCo,32
GamerzPlanet,iDressup,1712
BitTorrent,UnrealEngine,206
Boxee,Yahoo,288
GFAN,NextGenUpdate,3372
Insanelyi,VK,1475
ArmyForceOnline,SpecialKSpamList,10659
MailRu,ModernBusinessSolutions,12375
Leet,PixelFederation,47
Onverse,PS3Hax,847
Onverse,PokemonCreed,1563
Aternos,Lookbook,55
Gamigo,SCDailyPhoneSpamList,11022
ArmyForceOnline,Duowan,172
MinecraftPocketEditionForum,Xbox-Scene,22
Lookbook,StarNet,102
CrackCommunity,SCDailyPhoneSpamList,67
HeroesOfGaia,Sony,6
CheapAssGamer,xat,3657
000webhost,MPGH,185671
Aipai,Interpals,1309
GeekedIn,MoneyBookers,3845
Experian,StarNet,3
Minefield,Yahoo,10
KMRU,Onverse,78
BlueSnapRegpack,VBulletin,20
Gamigo,Pokebip,36819
LinkedIn,Malwarebytes,25558
HackingTeam,Nulled,8
MPGH,Stratfor,1027
FoxyBingo,OwnedCore,277
MoDaCo,Tianya,4104
ArmyForceOnline,PHPFreaks,101
LoungeBoard,Tumblr,5693
Nihonomaru,SprashivaiRu,517
EpicGames,iMesh,7777
MinecraftPocketEditionForum,R2Games,712
BusinessAcumen,LinkedIn,2442
BlackHatWorld,Teracod,129
Lifeboat,PHPFreaks,362
IGF,PokemonCreed,15
Aternos,HackForums,117
LoungeBoard,NextGenUpdate,2592
TRAI,ThisHabboForum,1
Plex,SCDailyPhoneSpamList,4034
PokemonCreed,Uiggy,168
GTAGaming,KMRU,20
SkTorrent,myRepoSpace,51
126,Neteller,80
Insanelyi,MajorGeeks,316
DLH,SumoTorrent,590
Nihonomaru,Teracod,241
FlashFlashRevolution,MyVidster,38
Duowan,Pokebip,25
Forbes,LOTR,3070
AhaShare,Sony,9
Boxee,SprashivaiRu,12
Nulled,ThisHabboForum,648
CivilOnline,Nulled,322
ClixSense,Taobao,1009
Mac-Torrents,NetEase,1499
WarInc,Warframe,5907
Interpals,SCDailyPhoneSpamList,14240
HeroesOfGaia,StarNet,12
DLH,MySpace,84979
iMesh,myRepoSpace,7526
Boxee,ModernBusinessSolutions,2526
Nulled,Sony,3
Hemmelig,SumoTorrent,10
NextGenUpdate,SprashivaiRu,239
BigMoneyJobs,myRepoSpace,2
BlueSnapRegpack,PHPFreaks,6
Adobe,AstroPID,1185
Pokebip,Tianya,411
COMELEC,MoneyBookers,92
Aipai,Sony,1
17Media,MinecraftPocketEditionForum,50
Dodonew,LinkedIn,227169
AcneOrg,NextGenUpdate,1983
PixelFederation,WarInc,94
BigMoneyJobs,mSpy,69
FoxyBingo,PSX-Scene,96
PokemonCreed,WarInc,1469
CivilOnline,Onverse,847
LinkedIn,PixelFederation,1756
Duowan,QatarNationalBank,3
Duowan,Patreon,145
BTSec,NexusMods,114697
GTAGaming,Plex,417
FoxyBingo,LinuxMint,9
FoxyBingo,Lastfm,10348
BlackHatWorld,SkTorrent,113
DDO,SCDailyPhoneSpamList,38314
Interpals,MoDaCo,1966
BTSec,MinecraftPocketEditionForum,128
Dropbox,gPotato,131114
HeroesOfGaia,eThekwiniMunicipality,1
KMRU,Taobao,100
Stratfor,WarInc,649
Aipai,SkTorrent,19
PHPFreaks,WPT,57
ThisHabboForum,Verified,22
Lookbook,Nulled,229
AstroPID,Uiggy,7
Forbes,PSX-Scene,1281
BlackHatWorld,PixelFederation,15
Hemmelig,LinkedIn,1396
ModernBusinessSolutions,Pokebip,1089
Boxee,FFShrine,13119
GamerzPlanet,PaddyPower,294
AhaShare,Dodonew,437
Neteller,XSplit,10096
LinuxMint,Nival,186
CannabisForum,Hemmelig,25
Insanelyi,R2Games,2146
BigMoneyJobs,Uiggy,10
ArmyForceOnline,FoxyBingo,249
CheapAssGamer,Uiggy,120
GFAN,R2Games,13159
Dominos,Nival,185
CheapAssGamer,ThisHabboForum,1647
Insanelyi,Vodafone,3
LoungeBoard,MinecraftWorldMap,91
COMELEC,DLH,71
NexusMods,WPT,480
BigMoneyJobs,WIIUISO,11
ArmyForceOnline,Sony,6
Minefield,VK,332
Leet,Nihonomaru,5497
17Media,LizardSquad,72
BitTorrent,ModernBusinessSolutions,988
AstroPID,LinuxMint,8
Dodonew,Tesco,12
126,Plex,2
MajorGeeks,NextGenUpdate,1710
Lastfm,Solomid,24872
Aipai,LizardSquad,34
FFShrine,Seedpeer,1091
MyVidster,Nihonomaru,160
Nival,iDressup,823
EpicGames,QuantumBooter,115
BattlefieldHeroes,DDO,4
126,Trillian,282
CheapAssGamer,Sony,208
Forbes,HeroesOfGaia,149
Lifeboat,MoneyBookers,4852
SpecialKSpamList,Teracod,78
CrackCommunity,MajorGeeks,36
CrackCommunity,MangaTraders,165
Aipai,BitTorrent,28
Aternos,CannabisForum,12
R2Games,WarInc,54719
QuantumBooter,XSplit,8072
Aternos,Dropbox,9188
Dodonew,FFShrine,2283
WarInc,myRepoSpace,897
WarInc,Yahoo,633
Nulled,xat,11457
IGF,PHPFreaks,36
Boxee,ThisHabboForum,253
Dominos,Plex,784
Neopets,xat,195701
Adobe,NexusMods,1057686
Pokebip,SkTorrent,10
Stratfor,WildStar,345
BusinessAcumen,myRepoSpace,73
Aipai,VK,2879
PokemonCreed,Xbox-Scene,162
Gamigo,LizardSquad,174
MoneyBookers,myRepoSpace,756
HeroesOfGaia,SprashivaiRu,50
Hemmakvall,OwnedCore,204
AhaShare,Gamigo,1016
DDO,Rambler,402
GFAN,Lastfm,136919
BigMoneyJobs,SumoTorrent,7
Tumblr,WIIUISO,45153
Flashback,WIIUISO,100
GTAGaming,MuslimDirectory,15
CannabisForum,Lifeboat,810
Hemmelig,Xbox-Scene,51
Dominos,LinuxMint,96
Trillian,TruckersMP,729
FlashFlashRevolution,Lastfm,168744
EpicGames,Nihonomaru,6405
Seedpeer,VBulletin,657
Dodonew,R2Games,16992
AstroPID,Gamigo,59
COMELEC,SpecialKSpamList,1360
AhaShare,iPmart,6982
KMRU,QuantumBooter,6
PaddyPower,Solomid,86
Dropbox,MailRu,31581
000webhost,eThekwiniMunicipality,147
Nulled,WPT,15
MySpace,Tesco,354
Lookbook,MinecraftWorldMap,103
Lookbook,VK,17683
ArmyForceOnline,HeroesOfNewerth,16375
Hemmelig,SCDailyPhoneSpamList,9
ClixSense,LOTR,2730
Flashback,LoungeBoard,12
Teracod,WPT,1
MajorGeeks,VK,1264
Mac-Torrents,PS3Hax,1011
000webhost,Spirol,14
Flashback,SpecialKSpamList,137
SumoTorrent,uTorrent,2180
PS3Hax,SprashivaiRu,95
BitTorrent,MajorGeeks,162
Nulled,Trillian,4829
Uiggy,myRepoSpace,391
CannabisForum,MyVidster,10
ArmyForceOnline,GTAGaming,668
DLH,SCDailyPhoneSpamList,1589
Dodonew,eThekwiniMunicipality,16
LizardSquad,Vodafone,2
126,Tianya,622474
ClixSense,WarInc,4486
MySpace,SpecialKSpamList,5467315
Comcast,WHMCS,38
Insanelyi,OwnedCore,1617
DLH,Stratfor,390
AstroPID,EpicGames,55
LinkedIn,OwnedCore,46882
BattlefieldHeroes,Trillian,5
Interpals,WarInc,3177
Dropbox,Warframe,22081
BlueSnapRegpack,HeroesOfNewerth,111
